date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:21:37	11123/11123	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Dec%202020%2008:21:36%20GMT	https://botsbase.net/bot/772889561957269515	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/bot/772889561957269515.html	(from https://botsbase.net/)
10:21:37	3920/3920	---M--	200	added ('OK')	image/png	date:Sun,%2006%20Dec%202020%2008:21:37%20GMT	https://botsbase.net/image.php?i=https://cdn.discordapp.com/avatars/772889561957269515/1a253866ea8987bcdb2e19a04f2cc342.jpg	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/image863d.png	(from https://botsbase.net/)
10:21:38	11188/11188	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Dec%202020%2008:21:37%20GMT	https://botsbase.net/bot/774765565466116126	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/bot/774765565466116126.html	(from https://botsbase.net/)
10:21:38	3182/3182	---M--	200	added ('OK')	image/png	date:Sun,%2006%20Dec%202020%2008:21:38%20GMT	https://botsbase.net/image.php?i=https://cdn.discordapp.com/avatars/774765565466116126/a7cca104d78439b927b681a712eeb7e3.jpg	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/imagef805.png	(from https://botsbase.net/)
10:21:38	10283/10283	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Dec%202020%2008:21:38%20GMT	https://botsbase.net/bot/750834830882766910	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/bot/750834830882766910.html	(from https://botsbase.net/)
10:21:39	4715/4715	---M--	200	added ('OK')	image/png	date:Sun,%2006%20Dec%202020%2008:21:38%20GMT	https://botsbase.net/image.php?i=https://cdn.discordapp.com/avatars/750834830882766910/656b65af601f51f7b27da4d6182fd4f1.jpg	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/image84f5.png	(from https://botsbase.net/)
10:21:39	11815/11815	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Dec%202020%2008:21:39%20GMT	https://botsbase.net/bot/750652568686034954	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/bot/750652568686034954.html	(from https://botsbase.net/)
10:21:40	5451/5451	---M--	200	added ('OK')	image/png	date:Sun,%2006%20Dec%202020%2008:21:39%20GMT	https://botsbase.net/image.php?i=https://cdn.discordapp.com/avatars/750652568686034954/e42a713f85ae20737ebbdfd87f3a3cb5.jpg	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/image74dd.png	(from https://botsbase.net/)
10:21:40	11771/11771	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Dec%202020%2008:21:39%20GMT	https://botsbase.net/bot/689171084867665989	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/bot/689171084867665989.html	(from https://botsbase.net/)
10:21:40	4523/4523	---M--	200	added ('OK')	image/png	date:Sun,%2006%20Dec%202020%2008:21:40%20GMT	https://botsbase.net/image.php?i=https://cdn.discordapp.com/avatars/689171084867665989/a76349ff87369d0fdc5cd5cb33e1e70b.jpg	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/image4b75.png	(from https://botsbase.net/)
